Bhojpuri Morisien,Kreol Morisien,English
u luga dhowata,li pe lav linz,he is washing clothes
u ego kitaab likhata,li pe ekrir enn liv,he is writing a book
u dawai khawata,li pe pran medisinn,he is taking medicine
aaj sarkari daftar band ba,biro gouvernman ferme zordi,government office is closed today
sarkar naya niyam jaari karlak,gouvernman inn fer nouvo regleman,the government issued new rules
mantri logan media se baat karlan,minis finn koz ar media,ministers spoke to the media
budget par charcha karal gala rahal,inn ena diskision lor bidze,there was a discussion on the budget
desh mein mehengai badhat ba,pri inn monte dan pei,prices increased in the country
pulis ghatna ke jaanch karata,lapolis pe fer lanket,the police are investigating
court aaj ego naya faisla sunailak,lakour inn rann zizman,the court gave a judgment
sarkar madad yojana shuru karlak,gouvernman inn lans enn plan,the government launched a plan
paani ke samasya kuch ilaaka mein ba,ena problem dilo dan sertin landrwa,there is a water problem in some areas
adhikari loga meeting karlan,ofisie finn fer meeting,officials held a meeting
baarish ke sambhaavana ba,kapav ena lapli,it may rain
samundar aaj chanchal ba,lamer agite zordi,the sea is rough today
raat mein baarish hoi sakela,kapav ena lapli aswar,it may rain at night
health vibhag naya soochna jaari karlak,departman lasante inn fer lanons,the health department issued a notice
dokterr logan salaah delan,dokter finn donn konsey,doctors gave advice
bimari par niyantran baa,maladi pe kontrole,the disease is under control
lopital mein naya ward khulal ba,lopital ena nouvo ward,a new hospital ward opened
aaj subah halki hawaa chalat ba,boner ena enn ti divan,there is a light breeze in the morning
shehar mein traffic kam ba,trafik pa tro boukou,traffic is not heavy
kisan kheti karat ba,planter pe travay,farmers are working
petrol ke daam badhal ba,pri petrol inn monte,petrol prices increased
shehar surakshit ba,lavil an sekirite,the city is safe
gaon mein mela ba,ena fet dan vilaz,there is a fair in the village
loga khabar sunata,dimoun pe ekout nouvel,people are listening to the news
neta logan bhashan dehle ba,politicien pe fer diskour,politicians gave speeches
ham apan dost se milathayn,mo pe zwenn mo kamarad,i am meeting my friend
u phal khawata,li pe manz fri,he is eating fruit
u tv dekhela,li pe get tv,he is watching tv
ham mobile dekhathayn,mo pe get mo telefon,i am checking my phone
ham geet sunathayn,mo pe ekout lamizik,i am listening to music
u darwajja band karata,li pe ferm lapot,he is closing the door
u roti khawata,li pe manz dipin,he is eating bread
u sabzi banawela,li pe kwi legim,he is cooking vegetables
ham chai piyathayn,mo pe bwar dite,i am drinking tea
u nachata,li pe danse,he is dancing
ham chitthi likhathayn,mo pe ekrir let,i am writing a letter
u ghar derr se awela,li pe vini tar lakaz,he is coming home late
ham luga pehenathayn,mo pe met linz,i am wearing clothes
u bazaar mein ghumela,li pe marse dan bazar,he is walking in the market
ham kaam karathayn,mo pe travay,i am working
u radio sunela,li pe ekout radio,he is listening to the radio
ham roti banawathayn,mo pe kwi dipin,i am cooking bread
u chai piyata,li pe bwar dite,he is drinking tea
aaj shehar mein tej barish hoi,zordi ena gro lapli dan lavil,today there is heavy rain in the city
sarkar ego naya yojana jaari karlak,gouvernman inn lans enn nouvo plan,the government launched a new plan
aaj sab lekol band rahi,tou lekol pou ferme zordi,all schools will be closed today
gaon mein bijli nai ba,pena kouran dan vilaz,there is no electricity in the village
shehar mein safai abhiyan chal rahal ba,ena enn netwayaz dan lavil,there is a cleaning campaign in the city
gaon mein paani ke samasya ba,ena problem dilo dan vilaz,there is a water problem in the village
aaj sabzi ke daam ghatal,pri legim inn bese,vegetable prices decreased
aaj akhbaar mein naya khabar ba,ena nouvo nouvel dan zournal,there is new news in the newspaper
bank mein bheed lagal,ena boukou dimoun dan labank,there are many people in the bank
shehar mein mela lagal ba,ena fet dan lavil,there is a fair in the city
aaj bijli derr se aal,kouran inn vini tar,electricity came late
gaon mein ego clinic khulal ba,ena enn klinik dan vilaz,a clinic opened in the village
vijay ego purush ha,vijay enn zom,vijay is a man
port louis ego nagar ha,port louis enn lavil,port louis is a city
raja ego chokra ha,raja enn garson,raja is a boy
rani ego chokri ha,rani enn tifi,rani is a girl
gaye dudh dewe la,vas donn dile,the cow gives milk
buddha awroo budhi roj madir jalan sa,vie dimoun al laprier toulezour,old people go to pray every day
ego laika awata,enn zanfan pe vini,a child is coming
laikawan khelat hawan sa,zanfan pe zwe,children are playing
nadi mein paani bahela,dilo pe koule dan larivier,water is flowing in the river
cyclone mein hamar ghar tut gala,siklon inn kas mo lakaz,a cyclone destroyed my house
ham ego pakal aam khaili,mo finn manz enn mang miir,i ate a ripe mango
bahut paani pi li,mo finn bwar boukou dilo,i drank a lot of water
paani nai ba,pena dilo,there is no water
mohan sohan ke baat sunlak,mohan finn ekout sohan,mohan listened to sohan
mohan kekar baat sunlak,mohan finn ekout kikenn,mohan listened to someone
okra ke phal delan,li finn donn li fri,he gave him fruit
gantchi se aam giral,mang inn tonbe depi pie,a mango fell from the tree
khet mein sabzi hola,legim pous dan karo,vegetables grow in the field
tou khaa le lah,manze,eat
ii hamar kaam ke cheez ha,sa mo keksoz travay,this is my work item
u achha nai ba,li pa bon,he is not good
koi aawat ba,ena kikenn pe vini,someone is coming
ghar mein koi ba,ena kikenn dan lakaz,there is someone in the house
kown badha ba kown chota ba,kisannla pli gran kisannla pli tipti,who is bigger and who is smaller
ham hi chal jaib,mo pou ale,i will go
ham ekar bare mein kuch nai jani la,mo pa kone sa,i do not know this
ii beelkul thik ba,sa bien korek,this is absolutely correct
tou port louis mein kahan rahe la,kot to reste port louis,where do you live in port louis
phoulwa laal ba,fler rouz,the flower is red
haye chittiya oke de da,donn li let la,give him the letter
ham subah jaldi uthtani,mo leve boner,i wake up early
ham roz chai peetani,mo bwar dite toulezour,i drink tea every day
aaj mausam thoda garam ba,zordi fer enn ti so,today is a bit hot
ham ghar se kaam karat bani,mo pe travay depi lakaz,i am working from home
mobile subah charge mein lagaini,mo finn met telefonn sarz,i charged my phone in the morning
ham nashta time par kaini,mo finn manz boner,i ate breakfast on time
rasta aaj shaant ba,sime kalm zordi,the road is calm today
ham kaam par dhyan detani,mo pe konsantre lor travay,i am focusing on work
aaj din lamba lagat ba,zordi paret long,today feels long
ham raat mein jaldi sutni,mo dormi boner,i sleep early
subah hawa thandi lagat ba,divan fre boner,the morning breeze feels cool
ham alarm band kaini,mo finn tengn alarme,i turned off the alarm
aaj ka plan tayaar ba,plan zordi pare,today s plan is ready
ham routine follow karat bani,mo swiv mo rutin,i follow my routine
din achha shuru bhail,zour inn bien koumanse,the day started well
tou ka haal ba,ki manyer,how are you
ham thik bani dhanyavaad,mo bien mersi,i am fine thank you
aaj tou der se aail,to finn vini tar,you came late
sab kuch thik ba na,tou keksoz korek,everything is fine
ham baat samajh gaili,mo finn konpran,i understood
ii idea accha ba,sa lide bon,this idea is good
ham agree karat bani,mo dakor,i agree
baat clear ho gayil,tou kler,everything is clear
ham laptop kholni,mo finn ouver laptop,i opened my laptop
internet aaj slow ba,internet lant zordi,the internet is slow today
file upload ho rahal ba,file pe upload,the file is uploading
system update maangat ba,system pe demann update,the system is asking for an update
ham email bhejni,mo finn anvoy email,i sent an email
kaam time par khatam bhail,travay fini aler,the work finished on time
meeting das baje ba,meeting a dis er,the meeting is at ten
ham notes likhni,mo finn ekrir not,i wrote notes
presentation ready ba,prezantasion pare,the presentation is ready
audio saaf record ho rahal ba,audio pe bien anrezistre,the audio is recording clearly
ham headphones lagaini,mo finn met headphones,i put on headphones
screen thoda chamak rahal ba,lekran pe briye,the screen is bright
data sahi se save bhail,done bien anrezistre,data is saved properly
software thik kaam karat ba,software pe bien travay,the software is working well
result accha aai,rezilta pou bon,the result will be good
tou abhi free ba,to lib aster,are you free now
ii sach ba na,sa vre,is this true
ham shuru kari,mo koumanse,i will start
awaaz saaf aa rahal ba,son kler,the sound is clear
tou samjhat badoo,to pe konpran,do you understand
ii kaam mushkil ba ka,sa difisil,this is difficult
ham aaj jaayi,mo pou ale zordi,i will go today
tou madad kari sakta,to kapav ed mwa,can you help me
ii sahi time ba,sa bon moman,this is the right time
ham phir se boli,mo kapav repet,can i repeat
tou taiyaar ba,to pare,are you ready
ii jawab final ba,sa repons final,this is the final answer
ham wait kari,mo pou atann,i will wait
tou confirm kar,konfirm,confirm
sab clear ba,tou kler,everything is clear
aaj thoda thakaan ba,mo enn tigit fatige,i am a bit tired
ham excited feel karat bani,mo exsite,i am excited
ii sunkar accha lagal,sa fer mwa plezir,this makes me happy
ham thoda nervous bani,mo enn tigit nerve,i am a bit nervous
mann shaant ba,lespri kalm,my mind is calm
aaj stress kam ba,pa tro stress zordi,there is not much stress today
ham confident feel karat bani,mo krwar mwa,i feel confident
ii moment khaas ba,sa moman spesial,this moment is special
ham thankful bani,mo rekonesan,i am thankful
dil halka lagat ba,mo santi mwa leze,i feel light
ii baat yaad rahe,mo pou rapel sa,i will remember this
ham proud feel karat bani,mo fier,i feel proud
aaj mood achha ba,mo bon mood,i am in a good mood
sab positive lagat ba,tou paret pozitif,everything feels positive
ham ghar se bahar niklini,mo sorti lakaz,i left the house
bus time par aail,bis finn vini aler,the bus arrived on time
ham market gaili,mo finn al bazar,i went to the market
sadak thoda bheed bhail,sime ti ena dimoun,there were people on the road
ham chhata leke chalni,mo ti pran parapli,i took an umbrella
baarish dheere girat ba,lapli pe tonbe dousman,the rain is falling slowly
ham seedhi chadhni,mo mont leskalie,i climbed the stairs
kamra saaf ba,lasam prop,the room is clean
darwaza band ba,lapot ferme,the door is closed
ham kursi par baithni,mo asiz lor sez,i sat on a chair
ham idhar khada bani,mo debout isi,i am standing here
tou udhar ruk,atann laba,wait there
ham wapas laut aaini,mo finn retourne,i returned back
rasta sahi ba,sime bon,the road is good
safar smooth rahal,vwayaz bien pase,the journey went smoothly
dhyan se suna,ekoute bien,listen carefully
dheere bol,koze dousman,speak slowly
phir se bol,dir ankor,say again
record shuru kari,koumans anrezistre,start recording
ab band kari,aster arete,now stop
ek minute ruk,atann enn minit,wait a minute
awaaz clear ba,son kler,the sound is clear
ready bani,mo pare,i am ready
shuru kari,koumanse,start
ii baat sahi lagat ba,sa fer sans,this makes sense
ham thoda sochat bani,mo pe reflesi,i am thinking
tou dhyan se suna,ekoute bien,listen carefully
ham baad mein bataini,mo pou dir pli tar,i will say later
ii kaafi important ba,sa bien inportan,this is very important
tou phir se bol,dir ankor,say again
ham poora samajh gaili,mo finn bien konpran,i understood completely
ham phir se boli,mo repet,i repeat
ii bahut badhiya baa,sa bien bon,this is very good
tohra se milke khushi bha,to finn zwenn mwa mo bien kontan,i am very happy to have met you
thoda dheere bola,bola enn ti dousman,speak slowly
hamni sab milke kaam karab,nou tou travay ansam,we all work together
hamni ek dusra ke madad karab,nou ed sakenn lot,we help each other
hamni ke sochna chaahi,nou bizin krwar,we must believe
hamni kuchh naya seekhat bani,nou pe aprann nouvo kitsoz,we are learning new things
hamni ke taiyaar rahal chahi,nou bizin pare,we must be ready
ham chitthi likhathayn,mo pe ekrir enn let,i am writing a letter
u ghar derr se awela,li rant lakaz an reta,he she enters the house late
ham luga pehenathayn,mo met mo linz,i put on my clothes
ham kaam karathayn,mo fer travay,i work
u radio sunela,li ekout radio,he she listens to the radio
ham roti banawathayn,mo fer roti,i cook roti
u chai piyata,li pe bwar the,he she is drinking tea
aaj shehar mein tej barish hoi,zordi lapli pe tonbe for dan lavil,today it is raining heavily in the city
sarkar ego naya yojana jaari karlak,gouvernman finn anons enn nouvo plan,the government has announced a new plan
aaj sab lekol band rahi,zordi tou lekol ferme,today all schools are closed
gaon mein bijli nai ba,dan vilaz pena kouran,there is no electricity in the village
gaon mein paani ke samasya ba,dan vilaz ena problem delo,there is a water problem in the village
aaj sabzi ke daam ghatal,pri legim finn bese zordi,the price of vegetables has decreased today
aaj akhbaar mein naya khabar ba,zournal finn anons nouvo nouvel,the newspaper has reported new news
bank mein bheed lagal,bank pe bien ranpli avek dimoun,the bank is crowded with people
aaj bijli derr se aal,kouran finn vini tar,electricity arrived late
gaon mein ego clinic khulal ba,dan vilaz finn ouver enn klinik,a clinic has opened in the village
cyclone mein hamar ghar tut gala,siklonn finn kas mo lakaz,the cyclone destroyed my house
ham ego pakal aam khaili,mo finn manz enn bon mango mi,i ate a good ripe mango
bahut paani pi li,mo finn bwar buku delo,i drank a lot of water
mohan kekar baat sunlak,mohan finn tande kisannla finn dir,mohan heard who said it
okra ke phal delan,li finn donn legim,he gave vegetables
gantchi se aam giral,mango finn tonbe depi pye,the mango fell from the tree
khet mein sabzi hola,dan karo ena legim,there are vegetables in the field
tou kahan jaat hawa,to pe ale kot,where are you going
u achha nai ba,li pa bon,he is not nice
koi aawat ba,enn dimoun pe vini,someone are coming
ghar mein koi ba,dan lakaz ena dimoun,there are people in the house
kown badha ba kown chota ba,kisannla pli gran kisannla pli piti,who is older and who is younger
ham ekar bare mein kuch nai jani la,mo pa konn sa zistwar la bien,i do not know this story well
ii beelkul thik ba,sa li bon,this is good
tou port louis mein kahan rahe la,kot to reste dan port louis,where do you live in port louis
phoulwa laal ba,fler la rouz,red flower
haye chittiya oke de da,voye let la,send the letter
ham roz chai peetani,mo bwar the toulezour,i drink tea every day
aaj mausam thoda garam ba,zordi pe fer enn ti chaler,today it is a little hot
ham ghar se kaam karat bani,mo travay depi lakaz,i work from home
bhojpuri bole le,to koz bhojpuri,do you speak bhojpuri
haan do,wi do,yes dear
nay,non,no
tani tani,tigit tigit,a little bit
samjhi la,mo konpran,i do understand
balki nay saki la batiyawe,mo pa kapav koz li,but i cannot speak
nay saki la bole,mo pa kapav dir li,i cannot speak
kahe,kifer,why
hamar maa baap ghare bhojpuri nay batiyawe lan sa,mo mama papa pa koz bhojpuri lakaz,my parents do not speak to me in bhojpuri at home
tor bap dada log tor se bhojpuri mein nay batiyawe lan sa,to granparan pa koz bhojpuri ar twa,do your grandparents not speak to you in bhojpuri
